year;month;date_fraction;monthly_mean_total;monthly_mean_deviation;number_of_observations;definiteve_provisional_marker
1749;1;1.749.042;  96.7; -1.0;-1;1
1749;2;1.749.123; 104.3; -1.0;-1;1
1749;3;1.749.204; 116.7; -1.0;-1;1
1749;4;1.749.288;  92.8; -1.0;-1;1
1749;5;1.749.371; 141.7; -1.0;-1;1
1749;6;1.749.455; 139.2; -1.0;-1;1
1749;7;1.749.538; 158.0; -1.0;-1;1
1749;8;1.749.623; 110.5; -1.0;-1;1
1749;9;1.749.707; 126.5; -1.0;-1;1
1749;10;1.749.790; 125.8; -1.0;-1;1
1749;11;1.749.874; 264.3; -1.0;-1;1
1749;12;1.749.958; 142.0; -1.0;-1;1
1750;1;1.750.042; 122.2; -1.0;-1;1
1750;2;1.750.123; 126.5; -1.0;-1;1
1750;3;1.750.204; 148.7; -1.0;-1;1
1750;4;1.750.288; 147.2; -1.0;-1;1
1750;5;1.750.371; 150.0; -1.0;-1;1
1750;6;1.750.455; 166.7; -1.0;-1;1
1750;7;1.750.538; 142.3; -1.0;-1;1
1750;8;1.750.623; 171.7; -1.0;-1;1
1750;9;1.750.707; 152.0; -1.0;-1;1
1750;10;1.750.790; 109.5; -1.0;-1;1
1750;11;1.750.874; 105.5; -1.0;-1;1
1750;12;1.750.958; 125.7; -1.0;-1;1
1751;1;1.751.042; 116.7; -1.0;-1;1
1751;2;1.751.123;  72.5; -1.0;-1;1
1751;3;1.751.204;  75.5; -1.0;-1;1
1751;4;1.751.288;  94.0; -1.0;-1;1
1751;5;1.751.371; 101.2; -1.0;-1;1
1751;6;1.751.455;  84.5; -1.0;-1;1
1751;7;1.751.538; 110.5; -1.0;-1;1
1751;8;1.751.623;  99.7; -1.0;-1;1
1751;9;1.751.707;  39.2; -1.0;-1;1
1751;10;1.751.790;  38.7; -1.0;-1;1
1751;11;1.751.874;  47.5; -1.0;-1;1
1751;12;1.751.958;  73.3; -1.0;-1;1
1752;1;1.752.042;  58.3; -1.0;-1;1
1752;2;1.752.124;  83.3; -1.0;-1;1
1752;3;1.752.206; 118.3; -1.0;-1;1
1752;4;1.752.290;  98.8; -1.0;-1;1
1752;5;1.752.373;  99.5; -1.0;-1;1
1752;6;1.752.456;  66.0; -1.0;-1;1
1752;7;1.752.540; 130.7; -1.0;-1;1
1752;8;1.752.624;  48.8; -1.0;-1;1
1752;9;1.752.708;  45.2; -1.0;-1;1
1752;10;1.752.791;  77.7; -1.0;-1;1
1752;11;1.752.874;  62.7; -1.0;-1;1
1752;12;1.752.958;  66.7; -1.0;-1;1
1753;1;1.753.042;  73.3; -1.0;-1;1
1753;2;1.753.123;  53.3; -1.0;-1;1
1753;3;1.753.204;  76.2; -1.0;-1;1
1753;4;1.753.288;  63.3; -1.0;-1;1
1753;5;1.753.371;  60.0; -1.0;-1;1
1753;6;1.753.455;  52.8; -1.0;-1;1
1753;7;1.753.538;  36.7; -1.0;-1;1
1753;8;1.753.623;  65.0; -1.0;-1;1
1753;9;1.753.707;  46.7; -1.0;-1;1
1753;10;1.753.790;  41.7; -1.0;-1;1
1753;11;1.753.874;  33.3; -1.0;-1;1
1753;12;1.753.958;  11.2; -1.0;-1;1
1754;1;1.754.042;   0.0; -1.0;-1;1
